state_id,state_name,district_id,district_name
1,Andaman and Nicobar Islands,3,Nicobar
state_id,state_name,district_id,district_name
1,Andaman and Nicobar Islands,1,North and Middle Andaman
state_id,state_name,district_id,district_name
1,Andaman and Nicobar Islands,2,South Andaman
state_id,state_name,district_id,district_name
1,Andaman and Nicobar Islands,820,test
state_id,state_name,district_id,district_name
2,Andhra Pradesh,9,Anantapur
state_id,state_name,district_id,district_name
2,Andhra Pradesh,10,Chittoor
state_id,state_name,district_id,district_name
2,Andhra Pradesh,11,East Godavari
state_id,state_name,district_id,district_name
2,Andhra Pradesh,5,Guntur
state_id,state_name,district_id,district_name
2,Andhra Pradesh,4,Krishna
state_id,state_name,district_id,district_name
2,Andhra Pradesh,7,Kurnool
state_id,state_name,district_id,district_name
2,Andhra Pradesh,12,Prakasam
state_id,state_name,district_id,district_name
2,Andhra Pradesh,13,Sri Potti Sriramulu Nelloree
state_id,state_name,district_id,district_name
2,Andhra Pradesh,14,Srikakulam
state_id,state_name,district_id,district_name
2,Andhra Pradesh,819,test langitude
state_id,state_name,district_id,district_name
2,Andhra Pradesh,8,Visakhapatnam
state_id,state_name,district_id,district_name
2,Andhra Pradesh,15,Vizianagaram
state_id,state_name,district_id,district_name
2,Andhra Pradesh,16,West Godavari
state_id,state_name,district_id,district_name
2,Andhra Pradesh,6,"YSR District, Kadapa (Cuddapah)"
state_id,state_name,district_id,district_name
3,Arunachal Pradesh,22,Anjaw
state_id,state_name,district_id,district_name
3,Arunachal Pradesh,787,Arunachal Pradesh Test District
state_id,state_name,district_id,district_name
3,Arunachal Pradesh,20,Changlang
state_id,state_name,district_id,district_name
3,Arunachal Pradesh,25,Dibang Valley
state_id,state_name,district_id,district_name
3,Arunachal Pradesh,23,East Kameng
state_id,state_name,district_id,district_name
3,Arunachal Pradesh,42,East Siang
state_id,state_name,district_id,district_name
3,Arunachal Pradesh,17,Itanagar Capital Complex
state_id,state_name,district_id,district_name
3,Arunachal Pradesh,24,Kamle
state_id,state_name,district_id,district_name
3,Arunachal Pradesh,27,Kra Daadi
state_id,state_name,district_id,district_name
3,Arunachal Pradesh,21,Kurung Kumey
state_id,state_name,district_id,district_name
3,Arunachal Pradesh,33,Lepa Rada
state_id,state_name,district_id,district_name
3,Arunachal Pradesh,29,Lohit
state_id,state_name,district_id,district_name
3,Arunachal Pradesh,40,Longding
state_id,state_name,district_id,district_name
3,Arunachal Pradesh,31,Lower Dibang Valley
state_id,state_name,district_id,district_name
3,Arunachal Pradesh,18,Lower Siang
state_id,state_name,district_id,district_name
3,Arunachal Pradesh,32,Lower Subansiri
state_id,state_name,district_id,district_name
3,Arunachal Pradesh,36,Namsai
state_id,state_name,district_id,district_name
3,Arunachal Pradesh,19,Pakke Kessang
state_id,state_name,district_id,district_name
3,Arunachal Pradesh,39,Papum Pare
state_id,state_name,district_id,district_name
3,Arunachal Pradesh,800,sedt
state_id,state_name,district_id,district_name
3,Arunachal Pradesh,35,Shi Yomi
state_id,state_name,district_id,district_name
3,Arunachal Pradesh,37,Siang
state_id,state_name,district_id,district_name
3,Arunachal Pradesh,30,Tawang
state_id,state_name,district_id,district_name
3,Arunachal Pradesh,26,Tirap
state_id,state_name,district_id,district_name
3,Arunachal Pradesh,34,Upper Siang
state_id,state_name,district_id,district_name
3,Arunachal Pradesh,41,Upper Subansiri
state_id,state_name,district_id,district_name
3,Arunachal Pradesh,28,West Kameng
state_id,state_name,district_id,district_name
3,Arunachal Pradesh,38,West Siang
state_id,state_name,district_id,district_name
4,Assam,46,Baksa
state_id,state_name,district_id,district_name
4,Assam,47,Barpeta
state_id,state_name,district_id,district_name
4,Assam,765,Biswanath
state_id,state_name,district_id,district_name
4,Assam,57,Bongaigaon
state_id,state_name,district_id,district_name
4,Assam,66,Cachar
state_id,state_name,district_id,district_name
4,Assam,766,Charaideo
state_id,state_name,district_id,district_name
4,Assam,58,Chirang
state_id,state_name,district_id,district_name
4,Assam,48,Darrang
state_id,state_name,district_id,district_name
4,Assam,62,Dhemaji
state_id,state_name,district_id,district_name
4,Assam,59,Dhubri
state_id,state_name,district_id,district_name
4,Assam,43,Dibrugarh
state_id,state_name,district_id,district_name
4,Assam,67,Dima Hasao
state_id,state_name,district_id,district_name
4,Assam,60,Goalpara
state_id,state_name,district_id,district_name
4,Assam,53,Golaghat
state_id,state_name,district_id,district_name
4,Assam,68,Hailakandi
state_id,state_name,district_id,district_name
4,Assam,764,Hojai
state_id,state_name,district_id,district_name
4,Assam,54,Jorhat
state_id,state_name,district_id,district_name
4,Assam,49,Kamrup Metropolitan
state_id,state_name,district_id,district_name
4,Assam,50,Kamrup Rural
state_id,state_name,district_id,district_name
4,Assam,51,Karbi-Anglong
state_id,state_name,district_id,district_name
4,Assam,69,Karimganj
state_id,state_name,district_id,district_name
4,Assam,61,Kokrajhar
state_id,state_name,district_id,district_name
4,Assam,63,Lakhimpur
state_id,state_name,district_id,district_name
4,Assam,767,Majuli
state_id,state_name,district_id,district_name
4,Assam,55,Morigaon
state_id,state_name,district_id,district_name
4,Assam,56,Nagaon
state_id,state_name,district_id,district_name
4,Assam,52,Nalbari
state_id,state_name,district_id,district_name
4,Assam,812,New Assam District N
state_id,state_name,district_id,district_name
4,Assam,44,Sivasagar
state_id,state_name,district_id,district_name
4,Assam,64,Sonitpur
state_id,state_name,district_id,district_name
4,Assam,768,South Salmara Mankachar
state_id,state_name,district_id,district_name
4,Assam,45,Tinsukia
state_id,state_name,district_id,district_name
